Geography,Count of 1,Sum of MIN Tract,Sum of LMI Tract,Sum of Total Persons,Sum of Total Families,Sum of Total HHs,Sum of Total Female Pop,Sum of Total Male Pop,Sum of Total Minority Pop,Average of Minority Pop as Percent of Tract Pop,Sum of Total Pop Hispanic only,Sum of Total Pop Non-Hispanic White,Sum of Total Pop Non-Hispanic American Indian/Alaska Native,Sum of Total Pop Non-Hispanic Native Hawaiian/other Pacific Islander,Sum of Total Pop Non-Hispanic Black/African American,Sum of Total Pop Non-Hispanic Asian,Sum of Total Pop Householder in Family HHs,Sum of Total Pop in Family HHs,Sum of Total Male Householders in Family HHs,Sum of Total Female Householders in Family HHs,Sum of Total Spouse Householder in Family HHs,Sum of Total Children in Family HHs,Sum of Total Grandchildren in Family HHs,Sum of Total Parents in Family HHs,Sum of Total Other Relatives in Family HHs,Sum of Total Non-relatives in Family HHs,Sum of Total Pop in Non-Family HHs,Sum of Total Male Households in Non-Family HHs,Sum of Total Male Householders living alone in Non-Family HHs,Sum of Total Male Householders not living alone in Non-Family HHs,Sum of Total Female Householders in Non-Family HHs,Sum of Total Female Householders living alone in Non-Family HHs,Sum of Total Female Householders not living alone in Non-Family HHs,Sum of Total nonrelatives in Non-Family HHs,Sum of Total Pop in Group Quarters,Sum of Total Pop 65 years and over,Sum of Total Population,Sum of Total Male Pop2,Sum of Total Male Pop 18 to 24 years,Sum of Total Male Pop 25 to 39 years,Sum of Total Male Pop 40 to 49 years,Sum of Total Male Pop 50 to 61 years,Sum of Total Male Pop 62 years and over,Sum of Total Female Pop2,Sum of Total Female Pop 18 to 24 years,Sum of Total Female Pop 25 to 39 years,Sum of Total Female Pop 40 to 49 years,Sum of Total Female Pop 50 to 61 years,Sum of Total Female Pop 62 years and over,Sum of Total Male/Female Pop 18 to 24 years,Sum of Total Male/Female Pop 25 to 39 years,Sum of Total Male/Female Pop 40 to 49 years,Sum of Total Male/Female Pop 50-61 years,Sum of Total Male/Female Pop 62 years and over,Average of Female Median Age,Average of Male Median Age,Average of Persons Median Age,Sum of Total Male Pop 16 and over,Sum of Total Male Pop 16 and over in Labor Force,Sum of Total Male Pop 16 and over in Armed Forces,Sum of Total Male Pop 16 and over - Civilians,Sum of Total Male Pop 16  and over - Employed,Sum of Total Male Pop 16 and over - Unemployed,Sum of Total Male Pop 16 and over - Not in Labor Force,Sum of Total Female Pop 16 and over,Sum of Total Female Pop 16 and over in Labor Force,Sum of Total Female Pop 16 and over in Armed Forces,Sum of Total Female Pop 16 and over - Civilians,Sum of Total Female Pop 16  and over - Employed,Sum of Total Female Pop 16 and over - Unemployed,Sum of Total Female Pop 16 and over - Not in Labor Force,Average of MFI - White,Average of MFI - Black,Average of MFI - American Indian/Alaska Native,Average of MFI - Asian,Average of MFI - Native Hawaiian/Pacific Islander,Average of MFI - Some other race,Average of MFI - Two or more races,Average of MFI - Hispanic or Latino,"Average of MFI - White, not Hispanic",Sum of Total Families2,Sum of Total Families with Income Below Poverty,Sum of Total Housing Units,Sum of Total Housing Units - Occupancy Status,Sum of Total Occupied Housing Units,Sum of Total Vacant Housing Units,Sum of Total Occupied Housing Units - Tenure,Sum of Total Owner Occupied Housing Units - Tenure,Sum of Total Renter Occupied Housing Units - Tenure,Average of Median Year Structure Built,Average of Median Gross Rent - Dollars,Average of Median Value (Dollars) for all Owner Occupied Housing Units,Average of MFI as Percent of MSA MFI,Average of MSA MFI,Sum of Low Income,Sum of Moderate Income,Sum of Middle Income,Count of Upper Income,Sum of LMI Pop,Sum of MIN Pop
"Lynchburg City County, VA",19,6,10,75568,16268,27875,40094,35474,27994,39.77368421,2300,47574,200,27,21984,1852,16268,50057,8934,7334,11310,17607,1550,392,1054,1072,15321,4608,3390,1218,6999,5865,1134,3714,8348,10351,75568,35474,8067,6433,3762,4619,5012,40094,9225,6668,4114,5282,7612,17292,13101,7876,9901,12624,35.94736842,33.10526316,34.52631579,27736,18228,83,17320,16294,1851,9508,33193,18153,43,17382,16370,1740,15040,55876.26316,37110.89474,1889.105263,17404.42105,0,872.3684211,4710,9505.368421,55692.21053,16268,2539,31334,31334,27875,3459,27875,15707,12168,1961.210526,646,121373.6842,82.20263158,60800,3,7,7,19,5339,17262
"Lynn County, TX",4,2,1,11830,3406,4330,5936,5894,5862,49.1025,5486,5968,56,0,226,16,3406,10962,1476,1930,2560,3928,424,18,234,326,1014,458,396,62,466,436,30,90,0,1908,11830,5894,430,958,836,1062,996,5936,380,934,822,916,1206,810,1892,1658,1978,2202,39,38.5,38.75,4608,3126,0,2892,3100,26,1482,4460,2530,0,2380,2468,62,1930,51118.25,0,25632.25,0,0,36260.5,0,32622.25,61111.5,3406,466,5362,5362,4330,1032,4330,3198,1132,1965.75,511.75,73200,87.0675,58800,0,1,3,4,0,3998
"Lyon County, IA",4,0,0,23162,6384,8730,11596,11566,628,2.7225,424,22534,16,0,18,50,6384,19720,4700,1684,5726,7100,206,36,64,168,2620,1096,960,136,1250,1204,46,274,788,4008,23162,11566,786,2004,1496,1910,2006,11596,744,1950,1410,1814,2632,1530,3954,2906,3724,4638,40.75,37.5,38.75,8528,6696,0,6270,6550,146,1832,8888,5806,0,5456,5612,194,3082,57427.5,0,0,0,0,26248,0,35500,56878,6384,234,9652,9652,8730,922,8730,7152,1578,1957.25,519.25,96500,102.4375,62000,0,0,4,4,0,0
"Lyon County, KS",8,0,4,33690,8300,13752,17201,16489,8986,23.85,6755,24704,144,11,731,759,8300,25701,4853,3447,6345,8894,433,138,358,869,7271,2769,1934,835,2683,2168,515,1819,2002,4153,33690,16489,2508,3145,1938,2580,2265,17201,2974,2996,1963,2526,2855,5482,6141,3901,5106,5120,35.125,34.375,34.5,13576,9873,29,9450,9033,811,3703,14073,9133,0,8830,8437,696,4940,50819.5,16268.625,0,7681.25,0,15588.375,40377.5,34733.5,51874.875,8300,1238,15207,15207,13752,1455,13752,8186,5566,1959.125,585.125,92062.5,93.65625,57700,0,4,3,8,0,0
"Lyon County, KY",4,0,0,16628,4670,6544,7470,9158,1284,4.8,154,15344,24,2,874,48,4670,11204,2686,1984,3738,2666,56,12,8,44,2008,780,714,66,1094,994,100,134,3522,3376,16628,9158,622,1976,1442,1784,2030,7470,384,912,1030,1572,2310,1006,2888,2472,3356,4340,38.5,34.75,36.5,8064,2714,0,2512,2576,138,5350,6434,3016,0,2752,2768,248,3418,36565,15937.5,0,0,0,0,13485.5,0,36565,4670,504,9404,9404,6544,2860,6544,5302,1242,1485,255.25,65425,84.71,46900,0,0,2,4,0,0
"Lyon County, MN",8,0,1,51714,12514,20526,26024,25690,6440,11.98375,3082,45274,164,12,1150,1354,12514,38574,8160,4354,10542,13604,138,92,220,1216,9714,3610,2906,704,4402,3782,620,1702,2924,6978,51714,25690,3364,5094,3210,3942,3640,26024,3576,4566,3146,3926,4720,6940,9660,6356,7868,8360,36.375,34.375,35.25,19902,15568,4,14788,14912,652,4334,20350,13946,0,13448,13440,506,6404,64654.5,0,2057.25,10489.25,0,28381.875,6209.125,21710.125,65599.125,12514,658,22092,22092,20526,1566,20526,14000,6526,1962.75,569.25,129500,110.25,63600,0,1,4,8,0,0
"Lyon County, NV",10,0,3,51980,12549,17766,25802,26178,11346,22.405,7674,40634,1061,124,363,701,12549,44427,8599,3950,9985,16255,1527,586,1514,1466,6349,3030,2656,374,2187,1929,258,1132,739,7447,51980,26178,1826,4393,3625,4523,5192,25802,1706,4497,3480,4625,5185,3532,8890,7105,9148,10377,42.8,42.2,42.6,20389,12544,89,11904,10623,1832,7845,19695,11028,83,10307,9648,1297,8667,53835.1,9529.2,31592.9,1397.7,0,12258.3,8507.1,39262.7,55305.6,12549,1089,21481,21481,17766,3715,17766,12828,4938,1990.1,841.1,185370,83.272,61400,0,3,7,10,0,0
"Mackinac County, MI",7,0,0,22226,6392,9854,11002,11224,5404,19.75714286,252,16822,3818,2,114,44,6392,17828,3914,2478,5264,5336,316,64,92,320,4230,1598,1348,250,1864,1528,336,768,504,4812,22226,11224,662,1480,1560,2378,2904,11002,596,1530,1494,2398,3076,1258,3010,3054,4776,5980,42.71428571,41.28571429,42,9470,5778,0,5508,4860,918,3692,9396,5172,0,4918,4612,560,4224,44930.71429,0,28607.57143,10937.57143,0,0,33477.42857,7075.857143,44678,6392,578,21662,21662,9854,11808,9854,8000,1854,1691.714286,397,109871.4286,85.19142857,54700,0,0,6,7,0,0
"Macomb County, MI",217,3,79,840978,220466,330322,432266,408712,135285,16.63,19095,705693,2351,168,72053,24908,220466,701410,134802,85664,169399,261710,10883,8629,10520,11601,127046,49184,41420,7764,60672,54513,6159,17190,9034,116529,840978,408712,35808,78075,63159,69849,62485,432266,34673,80141,64972,73311,84850,70481,158216,128131,143160,147335,40.79262673,38.04608295,39.46082949,319767,229609,588,222080,200469,28552,90158,345730,207282,133,200754,184707,22442,138448,65496.46544,33337.6682,3727.852535,33302.09217,0,2867.013825,10019.54378,20594.43318,65812.31797,220466,16493,355527,355527,330322,25205,330322,261291,69031,1897.709677,798.4470046,150338.7097,84.92308756,77300,13,66,114,217,34567,8662
"Macon County, AL",13,12,3,42904,9998,15938,23252,19652,36370,86.76923077,464,6534,56,4,35262,152,9998,30500,4470,5528,4980,10684,1812,490,1316,544,6634,2660,2380,280,3280,3068,212,694,6264,6008,42904,19652,3256,3116,2276,3416,3148,23252,4354,3592,2714,3782,4410,7610,6708,4990,7198,7558,39.30769231,35.84615385,37.61538462,15812,8448,112,7882,7132,1204,7364,19446,10168,0,9828,8840,1328,9278,34657,38485,7179.461538,0,0,0,8201.923077,0,34657,9998,2070,20776,20776,15938,4838,15938,10844,5094,1978.692308,589.2307692,85869.23077,95.82307692,47000,0,3,8,13,0,39748
"Macon County, GA",5,4,1,29480,5950,9470,13534,15946,19558,64.558,1054,9922,38,36,17804,380,5950,21240,2880,3070,3524,8494,948,138,1134,438,4436,1384,1100,284,2136,1942,194,916,3430,3530,29480,15946,1774,3784,2308,2686,2084,13534,1116,2232,1798,2614,2578,2890,6016,4106,5300,4662,42,37.8,39.8,11898,5248,0,4982,4652,596,6650,10934,5142,0,5044,4932,210,5792,53677,29261.2,0,31875,0,0,0,4790.6,54858.6,5950,1436,12106,12106,9470,2636,9470,6144,3326,1977,432.8,64800,81.91,47800,0,1,4,5,0,27666
"Macon County, IL",34,5,14,110768,28514,44947,57818,52950,23946,24.52,2072,86822,199,26,17916,1107,28514,88099,17423,11091,21832,30018,2326,758,1729,2107,19251,7306,6273,1033,9127,8179,948,2818,3369,17866,110768,52950,4944,9310,6866,9548,9529,57818,5408,10042,7313,10021,12503,10352,19352,14179,19569,22032,40.20588235,37.79411765,39.14705882,41861,27776,102,26510,25123,2551,14085,46565,25964,19,24935,24057,1888,20601,56487.35294,37217.64706,73.5,9011.294118,0,343.1470588,9701.235294,11149.88235,56136.11765,28514,2941,50599,50599,44947,5652,44947,31959,12988,1958.5,632.1764706,82864.70588,96.07558824,56900,4,10,10,34,10224,11516
"Macon County, MO",6,0,0,31132,8412,12696,15902,15230,1662,5.5,300,29470,60,18,698,126,8412,24778,5634,2778,6796,8144,278,136,160,752,4884,1948,1614,334,2336,2106,230,600,1416,6036,31132,15230,1148,2408,2038,2544,3230,15902,1036,2518,1954,2640,4058,2184,4926,3992,5184,7288,42.83333333,40.33333333,41.5,11608,7548,14,7208,6998,536,4060,12710,6954,4,6530,6752,198,5756,48212.5,10563.5,5763.833333,0,0,0,8999.666667,833,48259,8412,846,15366,15366,12696,2670,12696,9716,2980,1969.5,504.8333333,83000,105.2283333,49700,0,0,5,6,0,0
"Macon County, NC",9,0,1,33922,10535,15780,17427,16495,3323,9.176666667,2230,30599,143,3,419,201,10535,26594,6692,3843,8463,6179,525,39,219,548,5819,2175,1666,509,3070,2795,275,574,1040,7617,33922,16495,1349,2478,2012,2931,4376,17427,1119,2425,2062,3267,5369,2468,4903,4074,6198,9745,50.66666667,46.22222222,48.44444444,13510,8571,0,7980,7873,698,4939,14544,7185,0,6674,6680,505,7359,50471.33333,2500,0,0,0,16619.55556,5252.555556,27490.88889,50928.55556,10535,1355,24606,24606,15780,8826,15780,12125,3655,1982.777778,685.2222222,205588.8889,104.3533333,50000,0,1,6,9,0,0
"Macon County, TN",5,0,5,44496,11778,16408,22578,21918,2574,5.8,1838,41922,122,6,158,88,11778,37104,6976,4802,9608,13414,692,106,260,1170,5734,2074,1752,322,2556,2010,546,1104,1030,5848,44496,21918,1908,4118,3320,3494,3432,22578,1824,4042,3230,3618,4376,3732,8160,6550,7112,7808,39.2,37.2,38,16548,10654,0,10200,9580,1074,5894,17526,9014,0,8684,7846,1168,8512,40093.6,0,0,0,0,5379.6,35125.2,6847.8,40220.6,11778,2072,19486,19486,16408,3078,16408,12374,4034,1985.2,526,91180,63.912,67100,0,5,0,5,0,0
"Macoupin County, IL",13,0,3,47765,13296,19371,24217,23548,1450,2.89,418,46315,110,8,359,129,13296,39067,8259,5037,10255,12956,764,236,471,857,7209,3002,2405,597,3073,2764,309,1134,1704,8127,47765,23548,1999,4106,3193,4219,4353,24217,2001,4033,3360,4199,5527,4000,8139,6553,8418,9880,43,39.92307692,41.46153846,18528,12743,26,12203,11684,1033,5785,19906,11509,23,11088,10673,813,8397,60815.30769,2980.769231,4342.923077,0,0,0,12285.92308,12222.15385,60905.92308,13296,1290,21689,21689,19371,2318,19371,15192,4179,1964.076923,589.6153846,95884.61538,90.51384615,72200,0,3,9,13,0,0
"Madera County, CA",23,16,9,150865,32768,42089,78183,72682,93485,57.92217391,80992,57380,1790,107,5009,2533,32768,126989,17785,14983,24525,48032,3948,2744,7272,4958,11727,4390,3562,828,4931,4353,578,2406,9022,16489,150865,72682,8191,13738,8798,9908,10132,78183,7710,16485,10601,11109,11344,15901,30223,19399,21017,21476,35.82608696,34.26086957,35.2173913,52111,34553,13,33342,30215,4325,17558,58012,25128,0,24262,22269,2859,32884,49767.30435,29759.47826,16533.21739,14763.86957,0,37096.13043,49002.86957,49821,58185.47826,32768,4785,48686,48686,42089,6597,42089,26535,15554,1980.695652,897.7391304,271204.3478,97.07304348,45800,0,9,11,23,0,116480
"Madison County, AL",73,20,27,334811,83887,126564,170491,164320,113366,37.4990411,15404,221445,2335,321,79517,8167,83887,264072,52220,31667,63489,94339,6627,2410,5344,4596,51411,20602,16817,3785,22075,20280,1795,8734,7597,38796,334811,164320,17714,32205,25015,26319,22323,170491,16882,32856,26365,27153,28489,34596,65061,51380,53472,50812,39.09589041,36.35616438,37.78082192,123503,92123,2196,86148,82769,7158,31380,131152,79040,376,75549,72227,6437,52112,70206.21918,44531.24658,15216.73973,40149.42466,3424.671233,7671.041096,24695.24658,36190.71233,70657.53425,83887,7252,141483,141483,126564,14919,126564,89162,37402,1978.671233,724.0958904,147589.0411,100.4863014,75000,10,17,23,73,32770,66509
"Madison County, AR",5,0,3,31434,8412,11524,15672,15762,2532,8.2,1518,28902,342,22,54,162,8412,26822,5520,2892,7132,9232,530,218,488,464,3918,1642,1416,226,1470,1256,214,806,274,4478,31434,15762,1268,2700,2366,2762,2846,15672,1086,2690,2084,2810,3220,2354,5390,4450,5572,6066,41.2,40,40.6,12296,7580,0,7228,7250,330,4716,11922,6412,0,6058,6160,252,5510,44528,0,5125,0,0,6411.2,23775.8,20228.6,44630.2,8412,1200,14736,14736,11524,3212,11524,8682,2842,1976.8,541.4,100500,80.442,58700,0,3,2,5,0,0
"Madison County, FL",6,1,1,38448,9906,13552,18378,20070,17284,40.86,1798,21164,152,0,14846,86,9906,30286,4396,5510,7074,10046,1394,216,532,592,4224,1702,1308,394,1944,1748,196,578,4090,5978,38448,20070,1976,4104,2898,3328,3452,18378,1680,2972,2378,3232,4054,3656,7076,5276,6560,7506,42.16666667,39.66666667,41.33333333,16914,8412,0,8200,7568,844,8502,14536,8048,28,7694,7412,608,6488,50844.16667,31587.5,14740.66667,0,0,8327.666667,0,13795,51140.16667,9906,1392,16850,16850,13552,3298,13552,10020,3532,1982.833333,623.5,99750,100.1166667,48000,0,1,5,6,0,6192
"Madison County, GA",7,0,1,56240,14610,18860,28444,27796,8028,13.11285714,2278,48212,126,0,4640,346,14610,49920,8608,6002,10982,18636,1612,852,1356,1140,5218,1832,1494,338,2418,2166,252,968,458,7148,56240,27796,2320,5034,4288,4704,4318,28444,2316,5188,4262,4828,5234,4636,10222,8550,9532,9552,40.57142857,38.57142857,39.42857143,21084,14390,34,13814,13266,1090,6694,22416,12156,0,11736,11358,798,10260,52793.71429,29196.71429,0,0,0,0,9329,8198.714286,53960.42857,14610,2150,23348,23348,18860,4488,18860,14492,4368,1982,653.4285714,124628.5714,89.17857143,56600,0,1,6,7,0,0
"Madison County, IA",4,0,1,31358,8430,11506,15764,15594,892,2.815,394,30466,52,2,90,102,8430,26736,5226,3204,7344,9698,396,144,150,574,3696,1354,1190,164,1722,1488,234,620,544,4558,31358,15594,888,2664,2338,2668,2534,15764,896,2772,2336,2642,3084,1784,5436,4674,5310,5618,40.75,38.25,39.5,11596,9022,10,8450,8500,512,2574,11908,7866,0,7430,7672,194,4042,64586.5,0,0,0,0,0,6650,7238,64999.5,8430,572,12982,12982,11506,1476,11506,9372,2134,1962.25,686.25,149625,89.865,75000,0,1,3,4,0,0
"Madison County, ID",6,0,3,37536,7441,9868,19350,18186,3318,8.903333333,2218,34218,81,51,178,348,7441,26559,5058,2383,6733,10749,395,63,389,533,7892,1085,455,630,1342,615,727,5465,1962,2003,37536,18186,5718,3827,1152,1283,1168,19350,7941,2816,1183,1315,1385,13659,6643,2335,2598,2553,23.33333333,24,23.83333333,13226,9729,13,9480,9126,590,3497,14570,7936,0,7848,7165,771,6634,38557.5,0,0,10520.83333,0,0,11746.83333,16602.66667,39403.33333,7441,1589,10987,10987,9868,1119,9868,5129,4739,1982.833333,643,165833.3333,77.88166667,53200,2,1,2,6,8975,0
"Madison County, IL",61,4,20,269282,71492,106867,137704,131578,35767,15.39639344,7313,233515,556,92,21066,2211,71492,216860,42287,29205,54384,75961,5084,1815,2173,4284,43914,16439,12410,4029,18936,16277,2659,8539,7231,37601,269282,131578,13716,25135,18667,22074,20375,137704,13876,25707,19028,22824,26634,27592,50842,37695,44898,47009,39.29508197,36.50819672,37.93442623,102773,71628,361,68536,65903,5364,31145,110914,65305,174,63039,60619,4512,45609,64577.45902,30489.68852,4749.770492,11375.2459,0,1998.606557,13563,30033.98361,64604.77049,71492,6527,116653,116653,106867,9786,106867,79569,27298,1964.918033,700.9344262,122550.8197,92.26622951,72200,4,16,31,61,10309,10494
"Madison County, IN",37,2,19,131636,33572,51436,65870,65766,18059,14.89216216,4189,113577,253,41,10887,547,33572,104464,20032,13540,24441,36498,3409,852,1649,2978,21748,8158,6748,1410,9706,8498,1208,3884,5232,19818,131636,65766,6049,13153,9447,10363,10947,65870,5864,11784,8835,10784,14021,11913,24937,18282,21147,24968,39.78378378,37.43243243,38.7027027,51325,33002,42,31658,29361,3599,18323,53091,29869,42,28713,27265,2562,23222,51395.32432,22584.89189,0,0,0,2553.648649,21980.81081,21038.08108,51307.35135,33572,3749,59156,59156,51436,7720,51436,37780,13656,1906.945946,649.1621622,91429.72973,78.50513514,68900,4,15,16,37,10226,5465
"Madison County, KY",19,0,2,82916,20053,30756,42652,40264,7949,9.775263158,1813,74967,225,30,3565,753,20053,61074,11608,8445,15008,20136,1184,1012,944,2124,14283,5301,4143,1158,5402,4321,1081,3580,6223,8866,82916,40264,6593,8361,5367,5695,5163,42652,7234,8305,5524,6201,6623,13827,16666,10891,11896,11786,35,33.57894737,34.31578947,31408,22433,93,21584,20719,1621,8975,34288,20528,0,19953,18921,1607,13760,53937.42105,29779.10526,0,15844.57895,0,3161.789474,13286.73684,3231.315789,53925.42105,20053,2553,34360,34360,30756,3604,30756,19063,11693,1982.736842,576.6315789,134089.4737,121.0073684,46900,1,1,7,19,4182,0
"Madison County, LA",6,4,2,24186,5046,7946,12214,11972,15394,63.43833333,376,8792,46,0,14714,52,5046,17674,2778,2268,2974,7324,1238,154,476,306,3136,1330,1224,106,1570,1502,68,236,3762,2822,24186,11972,1264,2838,1526,1754,1548,12214,1050,2496,1672,2012,1982,2314,5334,3198,3766,3530,36.83333333,32.66666667,34.66666667,9482,4996,0,4672,4254,742,4486,9430,3766,0,3442,3314,452,5664,33501.5,29114.33333,5708.333333,0,0,3652.833333,0,28443.16667,32812.16667,5046,1268,9654,9654,7946,1708,7946,4700,3246,1972,545.3333333,67650,91.45,48500,0,2,3,6,0,20111
"Madison County, MO",4,0,0,24452,6574,9514,12434,12018,890,3.615,488,23562,68,2,64,82,6574,20450,4166,2408,5176,6736,548,236,552,496,3734,1384,1112,272,1556,1446,110,794,354,4402,24452,12018,1028,1992,1660,1958,2348,12434,1042,1988,1684,2026,2864,2070,3980,3344,3984,5212,42,39.5,40.75,9436,5682,0,5516,5208,474,3754,9996,5268,0,5022,4876,392,4728,40024.25,0,0,4843.75,0,0,30546.75,15736.5,40104.25,6574,948,11948,11948,9514,2434,9514,7356,2158,1971.25,501.5,83575,87.95,49700,0,0,4,4,0,0
"Madison County, MS",21,9,5,95203,23997,34708,49591,45612,41916,45.66666667,2806,53287,124,18,36227,2029,23997,78069,14113,9884,17623,28125,2872,879,1984,1547,12575,4876,3993,883,5835,5269,566,1864,1343,9413,95203,45612,3931,9043,6800,7239,5459,49591,4210,10204,7402,8082,7185,8141,19247,14202,15321,12644,37.47619048,35.52380952,36.52380952,32598,24251,82,23121,22719,1450,8347,37101,22859,34,22089,21503,1322,14242,89323.85714,61331.19048,0,41478.80952,0,6919.380952,13720.66667,23298.38095,84312.28571,23997,2418,37349,37349,34708,2641,34708,24201,10507,1986.380952,865.2380952,184133.3333,140.93,58400,2,3,5,21,8306,35557
"Madison County, MT",4,0,0,15382,4478,7626,7388,7994,712,4.6375,372,14670,70,0,30,52,4478,11468,2332,2146,3922,2688,84,14,24,250,3526,1966,1592,374,1182,1064,118,378,182,3062,15382,7994,490,1200,960,1794,2158,7388,342,1054,970,1748,1938,832,2254,1930,3542,4096,49.5,49.25,49.25,6620,4510,10,4132,4328,172,2110,6322,3800,0,3606,3558,242,2522,53356,0,0,0,0,0,35922.5,9230.5,54366.75,4478,382,12980,12980,7626,5354,7626,5258,2368,1978.25,646.75,228200,97.8225,60000,0,0,4,4,0,0
"Madison County, NC",7,0,3,41528,11292,16004,20982,20546,2060,4.454285714,846,39468,86,16,466,140,11292,32680,6340,4952,9020,9580,1022,206,1024,370,5398,1968,1664,304,2744,2362,382,686,3020,7088,41528,20546,2126,3300,2884,3748,4152,20982,1938,3432,2818,3970,4976,4064,6732,5702,7718,9128,44.71428571,42.42857143,43.57142857,16550,9624,0,9348,8966,658,6926,17174,8830,0,8462,8216,614,8344,49290.71429,10065,0,0,0,0,4107.285714,2510.571429,49592.42857,11292,1372,21102,21102,16004,5098,16004,12292,3712,1975.428571,523.5714286,142957.1429,89.52428571,55900,0,3,3,7,0,0
"Madison County, NE",9,0,1,34876,8618,13663,17562,17314,5814,17.13333333,4504,29062,337,10,409,157,8618,27203,5865,2753,7253,9635,253,111,423,606,5993,2134,1726,408,2911,2688,223,948,1524,5017,34876,17314,1880,3155,2193,2931,2665,17562,1762,3010,2204,2882,3467,3642,6165,4397,5813,6132,38.33333333,35.11111111,36.77777778,13052,10035,31,9424,9655,349,3017,13830,8873,0,8457,8483,390,4957,58246.44444,0,7305.111111,0,0,5117,0,19515.66667,59438.33333,8618,607,14987,14987,13663,1324,13663,9282,4381,1962.111111,513.5555556,107533.3333,107.0488889,60500,0,1,6,9,0,0
"Madison County, NY",16,0,2,73442,18328,26851,37378,36064,4526,6.07875,1316,68916,473,11,1260,576,18328,56694,10730,7598,14187,19601,993,437,829,1693,10940,3817,2855,962,4706,3864,842,2417,5253,9842,73442,36064,4905,5549,5334,6398,5745,37378,5153,5533,5435,6440,6945,10058,11082,10769,12838,12690,38.875,37.875,38.1875,28565,18690,74,17593,17393,1223,9875,30128,18037,9,17245,16928,1100,12091,65612.75,0,11748.8125,14186.25,0,6900.6875,5990.9375,26053.125,65461.1875,18328,1310,31243,31243,26851,4392,26851,20442,6409,1959.875,722.8125,120443.75,103.14375,68500,0,2,11,16,0,0
"Madison County, OH",12,0,0,43435,10319,14745,19703,23732,4441,8.8225,622,38994,88,8,2852,231,10319,32108,6363,3956,8196,11525,699,287,299,590,5260,2053,1637,416,2373,2131,242,834,5476,5151,43435,23732,2165,5529,4148,3838,3075,19703,1484,3364,3011,3341,3673,3649,8893,7159,7179,6748,40.83333333,38.16666667,39,19053,10947,48,10482,10363,536,8106,15228,9200,0,8638,8514,686,6028,74225.08333,10741.5,0,4025.5,0,0,3456.416667,8394.083333,74475.5,10319,916,15845,15845,14745,1100,14745,10508,4237,1969.5,612.75,155216.6667,113.6008333,71000,0,0,10,12,0,0
"Madison County, TN",27,11,9,98294,24727,37020,51646,46648,41234,45.52740741,3306,57060,146,28,35530,895,24727,80542,14224,10503,17481,30163,2375,1099,1962,1793,14259,5473,4658,815,6820,6444,376,1966,2577,12320,98294,46648,5237,8697,6144,7617,6903,51646,5911,9583,7002,8419,9147,11148,18280,13146,16036,16050,38.51851852,35.40740741,37.03703704,35613,25088,136,23907,22317,2635,10525,40647,24361,5,23517,21659,2697,16286,56716.25926,42688.44444,0,21031.74074,0,1774.518519,12175.88889,19376.74074,56916.37037,24727,3524,41671,41671,37020,4651,37020,24832,12188,1975.148148,718.8888889,114818.5185,101.8637037,55000,5,4,10,27,12022,31967
"Madison County, TX",5,2,0,27328,5082,7184,11582,15746,11268,36.794,5376,16060,64,2,5374,154,5082,18056,3044,2038,4066,6628,956,184,416,394,2372,764,660,104,1338,1282,56,270,6438,3730,27328,15746,2234,4670,1816,1818,2172,11582,904,1956,1448,1838,2472,3138,6626,3264,3656,4644,40.6,34.8,36.2,12930,4192,0,3940,3958,234,8738,8822,4518,0,4128,4228,290,4304,55287.2,14837,0,17937.6,0,30490,0,25387.8,60497,5082,818,10134,10134,7184,2950,7184,5706,1478,1979,545.8,94220,102.68,52800,0,0,5,5,0,8533
"Madison County, VA",3,0,0,26616,8002,10426,13640,12976,3828,14.28,472,22788,44,8,2584,148,8002,23388,4608,3394,6162,6818,1028,460,382,316,3296,902,526,376,1522,1278,244,872,0,4340,26616,12976,944,2024,1920,2448,2660,13640,944,2026,1968,2628,3114,1888,4050,3888,5076,5774,44.66666667,42.33333333,43.33333333,10426,7600,0,7226,7186,414,2826,10838,6364,0,6046,5946,418,4474,68331,47857.33333,0,0,0,23052.66667,0,0,68331,8002,646,11796,11796,10426,1370,10426,8442,1984,1973.666667,783,249933.3333,135.37,52700,0,0,0,3,0,0
"Magoffin County, KY",5,0,2,26666,6490,9342,13314,13352,454,1.758,190,26212,60,0,36,16,6490,23318,3862,2628,5218,9806,876,0,328,302,3118,1382,1346,36,1470,1382,88,266,152,3306,26666,13352,1178,2520,2074,2224,2020,13314,1062,2552,2014,2310,2324,2240,5072,4088,4534,4344,39.2,37.2,38,10076,4400,0,4324,3830,570,5676,10586,3522,0,3388,3340,182,7064,38564.2,0,0,0,0,0,3666.6,0,38564.2,6490,1642,11846,11846,9342,2504,9342,7302,2040,1980.2,489.2,45240,86.8,46900,0,2,3,5,0,0
